word1,word2
겉씨식물,피자식물
겉아가미,내새
겉아가미,속아가미
겉어림하다,속어림하다
겉옷,내복
겉옷,설복
겉옷,설의
겉옷,속내의
겉옷,안옷
겉옷,중군
겉옷,츤의
겉옷고름,안옷고름
겉울음,속울음
겉잣,실백자
겉장,속지
겉족건,속족건
겉주름,속주름
겉주름,안주름
겉찌름,뒤찌름
겉치레하다,속치레하다
겉치장,속치장
겉흙,속흙
겉흙,심토
게양,하기
게양되다,하기되다
게양하다,하기하다
겨울털,여름털
겨울털,하모
격식체,비격식체
격증,격감
격증되다,격감되다
격증하다,격감하다
격하,격상
격하되다,격상되다
격하하다,격상하다
견리망의,견리사의
견차,견상
결골,결마루
결단되다,해단되다
결단하다,해단하다
결동,해동
결마루,골
결맞음,결어긋남
결맞음,엇결성
결미,발단
결연,이연
결연,이절
결연하다,이연하다
결연하다,이절하다
결정론,비결정론
결정론,비정명론
결정론,자유의지론
결정질,무정형물질
결정질,무정형질
결정질,비결정성고체
결정질,비결정성물질
결정질,비결정질
결정질,비정질
결제,해제
결제,노태
결제하다,해제하다
결초,기단
결하,하해
결하,해하
결혼남,부인
결혼녀,결혼남
겸년,등년
겸년,영세
겸년,유년
겸명,단순명사
겸상,독상
겸세,영세
겸세,유년
겸세,풍년
겸손,교앙
겸업농가,전업농
겸업농가,전업농가
겸용,전용
겸용종,전용종
겹꽃,단륜꽃
겹꽃,단륜화
겹꽃,홑꽃
겹꽃,홑잎꽃
겹꽃잎,단엽
겹꽃잎,단판
겹꽃잎,홑꽃잎
겹꽃잎,홑잎
겹눈,홑눈
겹눈,단아
겹대패,홑날대패
겹바지,홑바지
겹바지,홑중의
겹보,홑보
겹셈,홑셈
겹씨방,단실자방
겹씨방,단자방
겹씨방,홑씨방
겹암술,단자예
겹암술,홑암술
겹올실,단사
겹올실,홑실
겹옷,단의
겹옷,홑옷
겹자리,홑자리
겹줄,단선
겹줄,외줄
겹집,홑집
겹창,단창
겹창,홑창
겹치마,홑치마
경,씨
경,위
경감,가중
경골어,연골어
경골어강,연골어강
경골어류,연골어류
경공업,중공업
경공장,외공장
경교육,연교육
경구,스펀지볼
경구,연구
경기,향기
경기우도,경기좌도
경내,경외
경도,씨도
경도,위
