날씨,기후,,,,,,,,
날씨,일기,,,,,,,,
네모,사각,,,,,,,,
노력,진력,,,,,,,,
노자,여비,,,,,,,,
놀이,유희,,,,,,,,
놀이,장난,,,,,,,,
농지,농토,,,,,,,,
눈길,시선,,,,,,,,
능숙하다,능란하다,,,,,,,,
다시,거듭,,,,,,,,
단결,단합,,,,,,,,
단정,단아,,,,,,,,
답장,답서,,,,,,,,
당연,마땅,,,,,,,,
대궐,왕궁,,,,,,,,
대궐,궁전,,,,,,,,
대로,큰길,,,,,,,,
대신,대리,,,,,,,,
대표,책임자,,,,,,,,
도달,도착,,,,,,,,
도대체,대관절,,,,,,,,
도리어,오히려,,,,,,,,
도무지,좀처럼,,,,,,,,
도저히,암만해도,,,,,,,,
돌보다,보살피다,,,,,,,,
동생,아우,,,,,,,,
동의,찬성,,,,,,,,
동지,동료,,,,,,,,
두메,산골,,,,,,,,
드디어,마침내,,,,,,,,
딱하다,가엾다,,,,,,,,
때,시대,,,,,,,,
때,시간,,,,,,,,
뜰,마당,,,,,,,,
다음가다,버금가다,,,,,,,,
단독,독단,,,,,,,,
달성,성취,,,,,,,,
당번,담당,,,,,,,,
대강,대개,,,,,,,,
대강,대략,,,,,,,,
대단히,광장히,,,,,,,,
대번에,단번에,,,,,,,,
대우,대접,,,,,,,,
대항,대적,,,,,,,,
대항,항거,,,,,,,,
도로,다시,,,,,,,,
도망,도주,,,,,,,,
도박,노름,,,,,,,,
독립,자립,,,,,,,,
동네,마을,,,,,,,,
동안,기간,,,,,,,,
동안,사이,,,,,,,,
동창,동문,,,,,,,,
둘레,주위,,,,,,,,
드문드문,띄엄띄엄,,,,,,,,
땅,토지,,,,,,,,
땅,대지,,,,,,,,
때문,까닭,,,,,,,,
뜻,의미,,,,,,,,
다짐,결심,,,,,,,,
단련,연마,,,,,,,,
단련,수련,,,,,,,,
당시,당대,,,,,,,,
대관절,대체,,,,,,,,
대다수,대부분,,,,,,,,
대답,대꾸,,,,,,,,
대답,응답,,,,,,,,
대원,요원,,,,,,,,
덕택,혜택,,,,,,,,
덕택,덕분,,,,,,,,
도리,방도,,,,,,,,
도리,방법,,,,,,,,
도시,도회지,,,,,,,,
독특하다,특이하다,,,,,,,,
동무,벗,,,,,,,,
동무,친구,,,,,,,,
동작,행동,,,,,,,,
두렵다,무섭다,,,,,,,,
뒤뜰,뒤껄,,,,,,,,
들판,평야,,,,,,,,
들판,벌판,,,,,,,,
때때로,가끔,,,,,,,,
떼,무리,,,,,,,,
뜻,의의,,,,,,,,
마구,함부로,,,,,,,,
마술사,마법사,,,,,,,,
마음,정신,,,,,,,,
마침내,드디어,,,,,,,,
만발,만개,,,,,,,,
만족,흡족,,,,,,,,
말끔히,깨끗이,,,,,,,,
매월,다달이,,,,,,,,
매월,매달,,,,,,,,
먼저,우선,,,,,,,,
멸망,패망,,,,,,,,
명령,분부,,,,,,,,
명령,지시,,,,,,,,
모두,전부,,,,,,,,
모조리,전부,,,,,,,,
모조리,죄다,,,,,,,,
목적,목표,,,,,,,,
묘하다,야릇하다,,,,,,,,
무덤,뫼,,,,,,,,
무덤,산소,,,,,,,,
무성,울창,,,,,,,,
무안,무색,,,,,,,,
문명,문화,,,,,,,,
물음,질문,,,,,,,,
민족,겨레,,,,,,,,
민족,종족,,,,,,,,
마땅하다,당연하다,,,,,,,,
마을,동네,,,,,,,,
마치,흡사,,,,,,,,
막노동,막일,,,,,,,,
만일,만약,,,,,,,,
맏딸,장녀,,,,,,,,
맏딸,큰딸,,,,,,,,
매일,날마다,,,,,,,,
맹렬,격렬,,,,,,,,
맹렬,치열,,,,,,,,
멸시,무시,,,,,,,,
멸시,천시,,,,,,,,
명작,걸작,,,,,,,,
모범,본보기,,,,,,,,
모범,규범,,,,,,,,
목숨,생명,,,,,,,,
몸가짐,태도,,,,,,,,
무기,병기,,,,,,,,
무력,군사력,,,,,,,,
무사,무고,,,,,,,,
무술,무예,,,,,,,,
묵념,묵상,,,,,,,,
묵념,묵도,,,,,,,,
미개,야만,,,,,,,,
미개,원시,,,,,,,,
믿음,신앙,,,,,,,,
믿음,신의,,,,,,,,
마련,준비,,,,,,,,
마련,장만,,,,,,,,
마치다,끝내다,,,,,,,,
만고,천고,,,,,,,,
만고,만대,,,,,,,,
말기,말엽,,,,,,,,
매우,몹시,,,,,,,,
맵시,모양,,,,,,,,
맹세,서약,,,,,,,,
먼지,티끌,,,,,,,,
명랑,쾌활,,,,,,,,
명예,명성,,,,,,,,
명예,영예,,,,,,,,
모습,모양,,,,,,,,
모퉁이,귀퉁이,,,,,,,,
목재,재목,,,,,,,,
몸소,손수,,,,,,,,
몸소,친히,,,,,,,,
무렵,즈음,,,,,,,,
무섭다,두럽다,,,,,,,,
무식,무지,,,,,,,,
묵묵히,잠잠히,,,,,,,,
문하생,제자,,,,,,,,
미래,장래,,,,,,,,
민첩,민활,,,,,,,,
밀접,긴밀,,,,,,,,
바닷가,해변,,,,,,,,
반격,역습,,,,,,,,
반대,거역,,,,,,,,
반대,거부,,,,,,,,
발달,발전,,,,,,,,
방도,방법,,,,,,,,
방도,방책,,,,,,,,
배달,배포,,,,,,,,
백성,국민,,,,,,,,
번지다,퍼지다,,,,,,,,
벌써,이미,,,,,,,,
범상,평범,,,,,,,,
벼슬,관직,,,,,,,,
별로,그다지,,,,,,,,
병,질환,,,,,,,,
병,질병,,,,,,,,
보결,보궐,,,,,,,,
보류,유보,,,,,,,,
보장,보증,,,,,,,,
보통,예사,,,,,,,,
보통,평범,,,,,,,,
본래,본디,,,,,,,,
봉사,헌신,,,,,,,,
부유,풍족,,,,,,,,
부품,부속품,,,,,,,,
부호,기호,,,,,,,,
분명,확실,,,,,,,,
분주,분망,,,,,,,,
불안,근심,,,,,,,,
비결,비법,,,,,,,,
비밀,기밀,,,,,,,,
비판,비평,,,,,,,,
빈궁,빈한,,,,,,,,
바르다,곧다,,,,,,,,
바르다,옳다,,,,,,,,
반대말,반의어,,,,,,,,
반드시,꼭,,,,,,,,
발표,공표,,,,,,,,
방랑,유랑,,,,,,,,
방해,훼방,,,,,,,,
배척,배격,,,,,,,,
버릇,습성,,,,,,,,
버릇,습관,,,,,,,,
벌판,들판,,,,,,,,
법칙,규칙,,,,,,,,
변화,변동,,,,,,,,
변화,변천,,,,,,,,
병기,무기,,,,,,,,
병자,환자,,,,,,,,
보급,공급,,,,,,,,
보배,보물,,,,,,,,
보존,보전,,,,,,,,
보필,보좌,,,,,,,,
복종,순종,,,,,,,,
본의,본뜻,,,,,,,,
부러,일부러,,,,,,,,
부지런히,열심히,,,,,,,,
부합,일치,,,,,,,,
부흥,재건,,,,,,,,
분야,부문,,,,,,,,
불가불,부득불,,,,,,,,
불행,불우,,,,,,,,
비교,대비,,,,,,,,
비용,경비,,,,,,,,
빈곤,가난,,,,,,,,
빈곤,구차,,,,,,,,
